Subbasin ID,Total Area (acres),Composite CN,,,,,,
S1,14.02,94.44,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,Original HSG,,
,COMMERCIAL & BUSINESS,D,13.31,95,1264.58,A/D,,
,PASTURE; FAIR,D,0.71,84,59.94,A/D,,
,,,,,,,,
Subbasin ID,Total Area (acres),Composite CN,,,,,,
S2,3.24,94.04,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,Original HSG,,
,COMMERCIAL & BUSINESS,D,1.08,95,102.9,A/D,,
,PASTURE; FAIR,D,0.0,84,0.01,A/D,,
,PASTURE; FAIR,D,0.28,84,23.85,A/D,,
,COMMERCIAL & BUSINESS,D,1.87,95,178.06,A/D,,
,,,,,,,,
