Subbasin ID,Total Area (acres),Composite CN,,,,,,,
0,38.36,84.21,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.04,98,1277.66,,1277.92,,84.2069885
,IMP,D,1.93,98,188.85,,189.14,,
,R1,D,634.23,84,53274.93,,53275.32,,
,R1,D,353.54,84,29697.08,,29697.36,,
,R1,D,7.06,84,593.2,,593.04,,
,R1,D,2.72,84,228.29,,228.48,,
,,,1012.52,,,,85261.26,,
1,49.65,84.25,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,0,98,0.21,,,,
,IMP,D,13.04,98,1277.66,,,,
,R1,D,0.92,84,77.66,,,,
,R1,D,0.17,84,13.99,,,,
,R1,D,0.27,84,22.97,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,0.59,84,49.64,,,,
,R1,D,10.11,84,849.2,,,,
,R1,D,0.04,84,3.31,,,,
,R1,D,7.06,84,593.2,,,,
,,,,,,,,,
2,75.81,81.65,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,185.87,80,14869.7,,,,
,R1,D,120.53,84,10124.49,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,,,,,,,,,
3,26.11,82.44,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,31.49,51,1605.8,,,,
,R1,D,634.23,84,53274.93,,,,
,,,,,,,,,
4,55.24,84.25,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,0,98,0.21,,,,
,IMP,D,13.04,98,1277.66,,,,
,R1,D,0.59,84,49.73,,,,
,R1,D,0.78,84,65.9,,,,
,R1,D,0.22,84,18.16,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,0.59,84,49.64,,,,
,R1,D,10.11,84,849.2,,,,
,R1,D,0.04,84,3.31,,,,
,R1,D,7.06,84,593.2,,,,
,,,,,,,,,
5,76.78,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,,,,,,,,,
6,38.18,77.1,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,31.49,51,1605.8,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,634.23,84,53274.93,,,,
,,,,,,,,,
7,33.22,70.25,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,52.95,51,2700.65,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,236.72,84,19884.09,,,,
,,,,,,,,,
8,82.39,78.18,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,52.95,51,2700.65,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,22.56,84,1895.4,,,,
,,,,,,,,,
9,36.98,81.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,0,80,0.33,,,,
,Grass,D,972.7,80,77815.97,,,,
,R1,D,31.6,84,2654.03,,,,
,R1,D,120.53,84,10124.49,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
10,108.74,83.18,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,185.87,80,14869.7,,,,
,Grass,D,69.57,80,5565.9,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
11,64.3,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
12,147.97,81.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,185.87,80,14869.7,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,,,,,,,,,
13,28.35,83.18,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,185.87,80,14869.7,,,,
,Grass,D,69.57,80,5565.9,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
14,45.88,80.44,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,R1,D,120.53,84,10124.49,,,,
,,,,,,,,,
15,50.08,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
16,62.4,80.68,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,IMP,D,15.35,98,1504.51,,,,
,R1,D,120.53,84,10124.49,,,,
,,,,,,,,,
17,62.15,69.33,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,342.03,39,13339.28,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
18,114.15,69.66,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,342.03,39,13339.28,,,,
,Grass,D,972.7,80,77815.97,,,,
,IMP,D,15.35,98,1504.51,,,,
,,,,,,,,,
19,85.94,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,7.06,84,593.2,,,,
,,,,,,,,,
20,64.28,64.68,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,B,2.16,68,146.59,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,59.96,84,5036.78,,,,
,,,,,,,,,
21,144.59,71.09,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,52.95,51,2700.65,,,,
,R1,D,31.6,84,2654.03,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,236.72,84,19884.09,,,,
,,,,,,,,,
22,47.19,75.49,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,52.95,51,2700.65,,,,
,IMP,D,15.35,98,1504.51,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
23,103.41,84.48,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,15.35,98,1504.51,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
24,71.22,84.36,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,15.35,98,1504.51,,,,
,R1,D,31.6,84,2654.03,,,,
,R1,D,120.53,84,10124.49,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
25,54.39,81.66,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,0,80,0.33,,,,
,Grass,D,972.7,80,77815.97,,,,
,IMP,D,15.35,98,1504.51,,,,
,R1,D,31.6,84,2654.03,,,,
,R1,D,120.53,84,10124.49,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
26,21.56,80.28,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,IMP,D,15.35,98,1504.51,,,,
,,,,,,,,,
27,71.51,69.33,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,342.03,39,13339.28,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
28,99.98,81.84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,185.87,80,14869.7,,,,
,Grass,D,69.57,80,5565.9,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
29,14.26,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,185.87,80,14869.7,,,,
,,,,,,,,,
30,17.88,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,185.87,80,14869.7,,,,
,,,,,,,,,
31,92.24,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
32,38.81,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,185.87,80,14869.7,,,,
,Grass,D,69.57,80,5565.9,,,,
,,,,,,,,,
33,34.41,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,Grass,D,185.87,80,14869.7,,,,
,,,,,,,,,
34,136.34,83.34,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,69.57,80,5565.9,,,,
,R1,D,353.54,84,29697.08,,,,
,,,,,,,,,
35,2.42,82.57,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,23.23,80,1858.79,,,,
