landuse,A_0-2%,A_2-6%,A_6%+,B_0-2%,B_2-6%,B_6%+,C_0-2%,C_2-6%,C_6%+,D_0-2%,D_2-6%,D_6%+
Cultivated Land,0.08,0.13,0.16,0.11,0.15,0.21,0.14,0.19,0.26,0.18,0.23,0.31
Pasture,0.12,0.18,0.22,0.16,0.21,0.28,0.2,0.25,0.34,0.24,0.29,0.41
Meadow,0.1,0.14,0.18,0.13,0.18,0.28,0.18,0.3,0.36,0.24,0.3,0.4
Forest,0.05,0.08,0.11,0.08,0.11,0.14,0.1,0.13,0.16,0.12,0.16,0.2
Residential,0.25,0.31,0.35,0.27,0.3,0.38,0.3,0.33,0.42,0.33,0.36,0.42
Lot Size 1/8 acre,0.33,0.37,0.4,0.35,0.39,0.44,0.42,0.49,0.54,0.41,0.45,0.54
Lot Size 1/4 acre,0.22,0.26,0.29,0.24,0.29,0.34,0.31,0.36,0.4,0.3,0.34,0.4
Lot Size 1/3 acre,0.19,0.23,0.26,0.22,0.26,0.3,0.25,0.29,0.34,0.28,0.32,0.39
Lot Size 1/2 acre,0.16,0.2,0.24,0.19,0.23,0.28,0.22,0.27,0.32,0.26,0.3,0.37
Lot Size 1 acre,0.14,0.2,0.22,0.17,0.21,0.27,0.21,0.26,0.31,0.24,0.29,0.35
Industrial,0.67,0.85,0.85,0.68,0.85,0.86,0.69,0.86,0.87,0.69,0.86,0.88
Commercial,0.71,0.77,0.79,0.72,0.77,0.84,0.72,0.77,0.84,0.72,0.77,0.84
Streets,0.7,0.76,0.77,0.71,0.72,0.73,0.72,0.73,0.76,0.74,0.75,0.78
Open Space,0.05,0.11,0.14,0.08,0.13,0.19,0.12,0.17,0.24,0.16,0.21,0.28
Parking,0.85,0.95,0.96,0.86,0.96,0.97,0.86,0.97,0.97,0.86,0.97,0.97
